Order_ID,Product_ID,Warehouse_ID,Supplier_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Order_Status,Quantity_Ordered
ORD500463,PRD1037,WH06,SUP002,2024-12-25,2024-12-31,,In Transit,61
ORD530783,PRD1015,WH03,SUP004,2023-02-24,2023-03-08,,In Transit,127
ORD543599,PRD1015,WH04,SUP012,2024-03-15,2024-03-30,,Cancelled,53
ORD517177,PRD1044,WH02,SUP009,2023-11-19,2023-11-24,2023-12-01,Delivered,179
ORD529650,PRD1040,WH06,SUP004,2024-09-30,2024-10-12,,Delayed,124
ORD505044,PRD1009,WH01,SUP004,2024-04-05,2024-04-20,2024-04-20,Delivered,42
ORD536827,PRD1001,WH04,SUP012,2024-10-04,2024-10-19,,In Transit,141
ORD539281,PRD1003,WH04,SUP005,2024-10-08,2024-10-13,2024-10-13,Delivered,86
ORD505919,PRD1016,WH07,SUP009,05/14/2024,2024-05-18,2024-05-18,Delivered,163
ORD546970,PRD1005,WH07,SUP002,2023-02-15,2023-03-01,2023-03-02,Delivered,24
ORD518692,PRD1015,WH02,SUP004,2023-07-08,2023-07-20,,In Transit,133
ORD516101,PRD1006,WH06,SUP006,2024-06-03,2024-06-08,,Delayed,34
ORD536064,PRD1021,WH02,SUP001,2024-03-27,2024-03-30,,Delayed,5
ORD534139,PRD1027,WH02,SUP004,2023-12-04,2023-12-16,2023-12-19,Delivered,34
ORD540953,PRD1005,WH05,SUP010,23/01/2023,2023-01-30,,Delayed,170
ORD513602,PRD1024,WH06,SUP003,2024-04-05,2024-04-15,,Cancelled,159
ORD542983,PRD1026,WH06,SUP002,2024-08-20,2024-09-04,2024-09-06,Delivered,8
ORD532623,PRD1025,WH04,SUP004,2024-03-20,2024-03-22,,In Transit,152
ORD516799,PRD1024,WH06,SUP004,2023-05-10,2023-05-20,2023-05-27,Delivered,180
ORD506975,PRD1039,WH08,SUP003,2024-09-01,2024-09-07,,Cancelled,119
ORD527311,PRD1018,WH03,SUP001,2023-06-03,2023-06-14,2023-06-14,Delivered,36
ORD532423,PRD1040,WH04,SUP010,2024-08-05,2024-08-18,,Delayed,87
ORD528063,PRD1022,WH02,SUP007,2024-09-18,2024-09-20,,In Transit,42
